title	href	last_work_plase	count
Ручное тестирование ПО	/resume/1e1f49d8000386ec590039ed1f6d3934575637?hhtmFrom=resume_search_result	ЭКСПЕРТЕК ИБС	1.0
Senior Product Manager	/resume/d27031f900079e97420039ed1f633579533342?hhtmFrom=resume_search_result	Wargaming.net / CООО Гейм Стрим	1.0
Technical Director - Project Manager	/resume/459ab22700074005450039ed1f393877386449?hhtmFrom=resume_search_result	OOO INTRALOT	1.0
системный администратор Windows/Exchange/System Center,  руководитель группы/отдела	/resume/6ba03dd500008a3e2c0039ed1f736563726574?hhtmFrom=resume_search_result	ДИТ Правительства Москвы	2.0
Руководитель интернет-проектов	/resume/dcde0c120007fe4e7e0039ed1f765561653561?hhtmFrom=resume_search_result	Шипилов А.С., Индивидуальный предприниматель	1.0
Региональный менеджер по продажам	/resume/c87ebcd80007c3d9190039ed1f4d596731684a?hhtmFrom=resume_search_result	ООО асд ритейл	1.0
Инженер-электронщик 	/resume/15d344f00005bfb4730039ed1f65776f536555?hhtmFrom=resume_search_result	Рокос, мебельное производство	1.0
Junior Frontend React Developer	/resume/e34850a6000804e0f50039ed1f763173695258?hhtmFrom=resume_search_result	ООО Лотос-Н	1.0
 Инженер АСУ ТП/ ПНР	/resume/aa28acd300074d244f0039ed1f626144303263?hhtmFrom=resume_search_result	ООО ППК московия	2.0
Младший java-разработчик	/resume/91c2e9f4000760e3590039ed1f4c4235797254?hhtmFrom=resume_search_result		
Системный администратор	/resume/d10480500003a118380039ed1f6b5455394c38?hhtmFrom=resume_search_result	"ООО""Современные Технологии Консалтинга"""	1.0
Системный администратор	/resume/52d88a7b0001d651cb0039ed1f6b4170526735?hhtmFrom=resume_search_result	X5 RETAIL GROUP	14.0
Ведущий аналитик	/resume/70cb3d890007b7580b0039ed1f6f6b42506d48?hhtmFrom=resume_search_result	Ralf Ringer	3.0
Аналитик	/resume/bfae00a80005b70fd20039ed1f3553465a3869?hhtmFrom=resume_search_result	Freelance	16.0
Frontend-разработчик	/resume/f3861e99000500e4300039ed1f4a54464f4234?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Специалист технической поддержки	/resume/e43c9f5800056c1a550039ed1f4d4f78426a42?hhtmFrom=resume_search_result	Софт Компани	2.0
Менеджер по работе с ключевыми клиентами/Key Account Manager/KAM	/resume/88615e580006803b7b0039ed1f5a4237496872?hhtmFrom=resume_search_result	Greenworks	2.0
Бизнес-аналитик	/resume/ee7cddc60007f8c9e60039ed1f5674744f3861?hhtmFrom=resume_search_result	Spring Boot Project	1.0
Консультант - Аналитик 1С	/resume/fb3ae5470007fab8230039ed1f77504b7a6f47?hhtmFrom=resume_search_result	Стелла груп Рус	2.0
Project-Manager	/resume/efdf14d30003cc179a0039ed1f714a45475971?hhtmFrom=resume_search_result	5 CORNERS	1.0
IT-специалист	/resume/05a557350001b0661d0039ed1f4e5a66593043?hhtmFrom=resume_search_result	Аккую нуклеар	2.0
Интернет-маркетолог	/resume/22fb4b4f0004217eec0039ed1f4853514f646a?hhtmFrom=resume_search_result	"ООО ""NSTR RT"""	2.0
Инженер	/resume/5e1ac4c20002b9bdae0039ed1f305368425941?hhtmFrom=resume_search_result	Московский метрополитен, Государственное унитарное предприятие	3.0
Начальник (зам. начальника) отдела	/resume/f432d9cd0001ac543d0039ed1f47743565464e?hhtmFrom=resume_search_result	"АО ""ЭВРИКА"" (Поставка, пуско-наладка, сервисное обслуживание и ремонт IT-оборудования)"	2.0
Менеджер проектов	/resume/8618a4500007bf041a0039ed1f6d614b506965?hhtmFrom=resume_search_result	Райден	3.0
Аналитик бизнес-процессов	/resume/fdce14250001c63f3a0039ed1f69554a4b5547?hhtmFrom=resume_search_result	"АО ""Отрадненский ГПЗ"""	3.0
Руководитель отдела ИТ	/resume/57733393000689a82a0039ed1f785252714d46?hhtmFrom=resume_search_result	"ООО ""Аэропорт Девелопмент"""	3.0
