last_work_place;count
"Казенное предприятие города Москвы ""Управление гражданского строительства""";1
ООО ППК;1
Cifrasoft;1
Группа компаний Мать и дитя;1
Фонбет;1
Dr. Oetker;1
SFBTech;1
LG Electronics RUS;1
ВТБ Лизинг;1
PPM Group;1
Максимус-Ритейл, ООО;1
Вайлдберриз, ООО;1
Доктор Рядом;1
ЕвроПлан;1
1xBet;1
"KaR-Tel LLP ""Beeline"", VEON group";1
Danone в России;1
ОТП Банк;1
ООО «Битфьюри Рус»;1
"Социлогическое агентство ""Russian Field""";1
SKILLBOX;1
ITI Capital;1
"ООО ""МАГТОП.РУ""";1
Research Institute «RosNIPIUrbanistiki»;1
"ООО ""Поисковый портал ""Спутник"" (Ростелеком)";1
"ООО ""ИСГ""МАРМАКС""""";1
Charles III University of Madrid;1
ING Wholesale Banking;1
"Школа ""Хочу знать"" - курсы для школьников 9-11 классов.";1
ООО Перспектива Авто;1
Сладонеж, ОАО;1
"ОАО ""Трехгорная мануфактура""";1
Институт космических исследований РАН;1
RITZIO;1
Ultra Wod;1
РУНА, консалтинговая группа;1
–;1
ПРАЙМ ГРУП;1
Ингосстрах - Инвестиции;1
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1232 ""На Кутузовском""";1
Novardis;1
Abbott Laboratories;1
State Unitary Enterprise “Research and Project Institute of Moscow City Master Plan”;1
"АО ""Отрадненский ГПЗ""";1
Репетитор;1
АСАП Консалтинг;1
"ООО ""Расчетный центр южного округа""";1
"LLC ""Pilot - Retail Business Solutions""";1
Форс Финанс;1
КАРИ;1
Футболика;1
"ООО ""ФОТО-СПЕКТР-М""";1
Школа;1
Endycs;1
BestFitMe (TrueNorth);1
SAP SE;1
Сбербанк - Технологии (аутсорс);1
Зеробит, ООО;1
Витасофт, АО;1
ООО МАКСИМАГРУПП (familia);1
"Кейтеринговая компания; по договору не могу упоминать название в резюме";1
ФГУП НПЦАП им. ак. Пилюгина;1
Fintech company of top Russian bank;1
WorldQuant;1
SOLLERS;1
GlowByte Consulting;1
Аналитическое кредитно рейтинговое агентство (АКРА);1
Ренессанс Life & Pensions;1
АО «Корпорация «Комета»;1
GG group;1
Сервис Плюс;1
МегаФон, ОАО;1
Bonitacasa;1
"Детский дом ""Анита-Центр""";1
SegmentStream;1
ООО ДВК Групп;1
MICROSOFT Corporation;1
Букмекерская контора 888.ru;1
"""Рейтинг букмекеров""";1
Theskymaps.ru;1
А-Move;1
"ООО ""Артвелл""";1
"""IIRBIS"" LLC";1
Ingram Micro Cloud;1
Люксофт;1
ООО «ИтПрофЦентр»;1
AXELOT;1
Леруа Мерлен;1
Nexters;1
Букмекерская компания «AlfaBet»;1
The Boston Consulting Group;1
Центральный аппарат политической партии ЛЛПР;1
Вертекс;1
ПАО МТС Банк;1
Банк России;1
ЦМД-софт, ОАО;1
СМПРО;1
"ООО ""МВМ""";1
Сбербанк Корпоративный Университет;1
KPMG;1
Подработка;1
"ООО ""Тайгер""";1
epam systems;1
Акселератор ФРИИ;1
Телеканал Россия, ГТК;1
"ООО ""Таксомоторный парк 20""";1
"Лаборатория визуализации ""Сфера""";1
International SOS;1
"Автономная некоммерческая организация ""Фонд защиты вкладчиков""";1
Платформа НТИ;1
AlphaRM;1
585, Холдинг;1
Индивидуальный предприниматель;1
ООО «М-СЕРВИС» ( корпоративное питание );1
Аналитический центр при правительстве РФ;1
"ООО ""Автоматика-Сервис""";1
CNET dFactory Sarl;1
Colvir Software Solution Ltd.;1
OSTC-ATON;1
ИП Хондого В.А.;1
"ООО ""Мобильное Измерение""";1
"ООО ""СТГ ИНЖИНИРИНГ""";1
АктивКомпьютерс ;1
SUNLIGHT;1
ИСКО ПРО;1
"АО ""НПО ""Орион""";1
Altarix;1
ИЕСофт;1
MobX agency;1
"ОАО ""Сетевая компания""";1
Стажировка;1
Группа компаний МХК Еврохим;1
АйТи Инжиниринг;1
Parma Technology Group;1
ООО.контур.;1
"ООО ""ТехЭкспо""";1
"Самозанятый, собственный проект ""КОНТАКТ""";1
Далее;1
АО Раменский приборостроительный завод (РПЗ);1
"ФГУП ""ПВС"" МВД";1
Пробизнесбанк;1
Veltio LLC, Салоники, Греция. Лидер в области консалтинга по решению задач в сфере комплексного планирования и оптимизации цепочек поставок;1
КурьерСервисЭкспресс;1
ЦБ РФ;1
"РОССЕТИ Урал - Екатеринбург (АО ""ЕЭСК"")";1
METRO Cash & Carry;1
Московский метрополитен, Государственное унитарное предприятие;1
LOBANOV FILMS;1
ЗАО ТюменьНИПИнефть;1
Частное лицо;1
"ООО ""ТМС""";1
Geekbrains;1
CARLO PAZOLINI GROUP;1
"БК ""БалтБет""";1
"ООО ""РК Строй"", ООО ""ИК ""Триумфальная арка"", ООО ""РК Строй"", КТ ""СУ-155 и Компания"" (последовательные переводы)";1
АРСИ ГРУПП;1
Торговый Дом «Аскона»;1
ООО Инострой;1
ATH American Express GBT;1
Техноинжиринг;1
ERGO;1
StroyStandart;1
BILLA Russia;1
"ПАО АНК ""Башнефть""";1
"АО ""Тесли""";1
NO ONE;1
ООО Фирма ДонТелеСофт;1
ЦУМ;1
1С, ЗАО;1
ЗАО Кворум;1
"Навикон, ООО ""Н-Тех""";1
Высокие технологии и стратегические системы (ЗАО НПК ВТ и СС);1
"Ооо ""Доминанта-сервис""";1
АО ИНТЕГРО ТЕКНОЛОДЖИЗ, ГК РАМАКС;1
ООО НСК Холди;1
Homemarket;1
Кимберли-Кларк, ООО;1
"ООО ""Орак""";1
Яндекс.Такси;1
НТЦ Амплитуда;1
Bain & Company (Big 3);1
Интернет-магазин сантехники;1
AQUAART GROUP;1
"ГПБУ ""Мосэкомониторинг""";1
Spin Controls;1
ITECH.group;1
Останкинский молочный комбинат;1
ИАЦ МЧС России;1
ByteDance;1
Финтех;1
НИИ «Квант»;1
Датареон;1
Московский государственный университет им. М.В. Ломоносова;1
"ООО ""Дальневосточная транспортная компания""";1
РОСИНКАС, объединение;1
Госкорпорация Росатом;1
ГК Безлимит;1
МРО Деловая Россия;1
"ФКУ Центр ""Антистихия""";1
Урюк;1
Световые Технологии;1
НИПИГАЗ, (СИБУР);1
PRO IT;1
"Общество с ограниченной ответственностью ТД ""Текстиль Спецодежда""";1
АО АльфаСтрахование;1
Вооруженные силы РФ;1
"ООО ""ТК-Авто"" (Автотрейд)";1
ООО Траско;1
Result.Business;1
Медицинская корпорация RHANA;1
ООО «Универсальная Электронная Платформа»;1
Онлайн-университет Skillbox;1
Бизнес-аналитик IT;1
https://fx-target.com/;1
Банк топ-3;1
GETMARK;1
Первая Экспедиционная Компания;1
"Омникомм Рязань (ООО ""Топливный контроль"")";1
Группа компаний КАМИ;1
Российский Федеральный Ядерный Центр Всероссийский Научно-Исследовательский Институт Экспериментальной Физики;1
Торговый дом Итэлиум;1
"ОАО ""Акадо""";1
bodyboost.pro;1
GudCovCompany;1
Center-game;1
Правительство Москвы;1
"ГБОУ ""школа №1547""";1
"ООО ""Фэмили""";1
Московский автомобильно-дорожный государственный технический университет;1
"АО ""ВНИИНМ им. А.А. Бочвара""";1
Uniweb;1
Восток-Запад;1
"АО ""Сервье""";1
Независимый консультант;1
EY Russia;1
AVON;1
АСНА;1
МегаФон Ритейл;1
стартапы, аутсорсинг;1
Ренессанс Кредит;1
SOVA Capital Limited  (ex Otkritie Capital International Limited);1
Винная компания Каудаль;1
Форд Соллерс Холдинг;1
SkyEng;1
Молодежное Энергетическое Агентство БРИКС (МЭА БРИКС);1
Reshape Analytics;1
Контрактная деятельность по договорам ГПХ;1
Integris;1
ОЧУ ПСТГУ;1
Московский политех;1
"АО ""Лаваль""";1
"ООО ""Монолит - Аренда""";1
"ИП ""Засыпкин А. И.""";1
МБА финансы;1
"ООО ""Мираполис""";1
Mobile TeleSystems (MTS);1
Bazelevs;1
Bell Integrator;1
Майбах Рент;1
Ип;1
БАНК УРАЛСИБ;1
Центр Финансовых Технологий, Группа компаний;1
ООО Финтеллер;1
Gaskar Group;1
ГИС;1
Western Union;1
"ООО ""Аудит груп""";1
Белла;1
ЦеТК;1
SELA Корпорация, Москва;1
АО Вандеркинд;1
Diageo Russia;1
XPO Logistics;1
Ростелеком, Корпоративный Центр;1
IT company Bright Box;1
Флагман Тревел - туристическое агентство.;1
"ГБУ «Доринвест""";1
Netcracker ЗАО Неткрекер;1
"ЗАО МПБК ""Очаково""";1
Древстрой;1
Смартиус;1
Milky club;1
Diasoft;1
Федеральная служба охраны Российской Федерации;1
NLMK Goup;1
МДМЦ  Чайка;1
Sisteme IT Solutii SRL;1
ЮТС;1
ФГБУ ГНЦ ФМБЦ им. А.И. Бурназяна ФМБА России;1
ЛАНИТ;1
"OOO ""Unitel"" TM Beeline";1
DMU;1
Главное ракетно-артиллерийское управление Министерства обороны РФ;1
ООО Э-КОМ;1
BMW Financial Service;1
"AXELOT (ООО ""ГРАДУМ"")";1
ИЯИ РАН;1
CUSTIS;1
"OOO ""Вентра Ай-Ти Проджект""";1
Aeroclub IT LLC;1
РЕСО-Гарантия, ОСАО;1
ФГБУ ВНИГНИ;1
Advanced Digital Technologies;1
Газпром;1
Высокие технологии бизнеса;1
ИНЛАЙН ГРУП;1
NAUMEN;1
Отель «Успенка»;1
ООО МДО;1
ООО Артезио;1
dotamix.com;1
ГБУ «Лаборатория Путешествий»;1
FINPROPHET;1
FSBI Russian Federal Geological Fund;1
ПАО «Невский банк». Санкт-Петербург.;1
Тензо-М;1
Подружка, сеть магазинов;1
1C-Архитектор бизнеса;1
Scientific Research and Development Implementation Center of Automated Systems (special purposes automated systems);1
"ООО ""ДомиДо""";1
INFOWATCH;1
